rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
750.3,2,1109,64,2232,0.9889515999999999,1.3,,,
700.7083333333334,3,1196,128,4168,0.9793684000000002,1.0833333333333333,,,
739.6756756756756,5,1257,192,6680,0.966934,1.3513513513513513,,,
738.204081632653,6,1274,256,8556,0.9576477999999999,1.3265306122448979,,,
713.9032258064516,8,1269,320,10292,0.9490546000000002,1.1774193548387097,18,0.0001,8.987576438812539e-05
718.3783783783783,10,1206,384,12508,0.9380854000000002,1.2027027027027026,156,0.0001,1.75737077370286e-05
744.1818181818181,12,1168,448,15156,0.9249778000000003,1.3409090909090908,322,0.0001,0.0002547115436755121
741.05,15,1140,512,17236,0.9146817999999999,1.33,452,0.0001,0.00031300922273658216
755.27,17,1120,576,19676,0.9026037999999998,1.43,604,0.0001,0.0002502556599210948
745.93,19,1104,640,21764,0.8922682000000005,1.39,735,0.0001,0.0006009812350384891
745.93,21,1095,704,23876,0.8818138,1.38,867,0.0001,0.0004370707320049405
743.2,23,1090,768,25808,0.8722503999999998,1.37,987,0.0001,0.001161627471446991
743.06,25,1086,832,27832,0.8622315999999997,1.38,1114,0.0001,0.0008748757536523044
741.45,27,1076,896,29752,0.8527276,1.38,1234,0.0001,9.239801147487015e-05
713.48,29,1063,960,31880,0.8421940000000004,1.23,1367,0.0001,0.002981264144182205
710.7,31,1057,1024,33824,0.8325711999999996,1.21,1488,0.0001,6.0657253925455734e-05
710.85,34,1057,1088,36044,0.8215822000000002,1.2,1627,0.0001,0.002177014946937561
710.73,35,1059,1152,38100,0.8114049999999999,1.19,1756,0.0001,0.001297977170906961
708.93,38,1062,1216,40564,0.7992081999999998,1.18,1910,0.0001,0.0016201542457565665
719.37,40,1063,1280,42596,0.7891497999999997,1.24,2037,0.0001,0.00012977170990779996
734.65,42,1065,1344,45152,0.7764975999999997,1.33,2196,0.0001,5.54934777028393e-05
753.6,44,1066,1408,47204,0.7663401999999999,1.45,2325,0.0001,0.0032584385480731726
749.3,46,1067,1472,49196,0.7564797999999999,1.42,2449,0.0001,0.0012448097113519907
758.91,48,1069,1536,51612,0.7445206000000001,1.47,2600,0.0001,0.0036043301224708557
771.89,50,1070,1600,53948,0.7329573999999994,1.54,2746,0.0001,0.0014097550883889198
771.47,52,1070,1664,55992,0.7228395999999998,1.52,2874,0.0001,0.00418440904468298
784.47,54,1073,1728,58588,0.7099893999999995,1.65,3036,0.0001,0.0029881861992180347
764.94,56,1073,1792,60432,0.7008615999999999,1.52,3151,0.0001,0.0018083563772961497
758.27,58,1074,1856,62496,0.6906447999999995,1.5,3280,0.0001,0.002803886542096734
748.34,59,1075,1920,64468,0.6808834000000001,1.44,3404,0.0001,0.001575445756316185
734.36,61,1075,1984,66172,0.6724486000000005,1.36,3510,0.0001,0.0006457376293838024
713.04,63,1074,2048,67952,0.6636375999999999,1.26,3621,0.0001,0.0133276442065835
709.82,65,1075,2112,70392,0.6515595999999999,1.24,3774,0.0001,0.0018467057961970568
697.89,66,1075,2176,71924,0.6439761999999996,1.18,3870,0.0001,0.003301571123301983
664.76,68,1073,2240,73860,0.6343929999999999,0.91,3991,0.0001,0.0036325366236269474
676.76,70,1073,2304,75968,0.6239583999999998,1.01,4122,0.0001,0.008144062012434006
662.78,72,1068,2368,77940,0.6141970000000005,0.92,4246,0.0001,0.005974184721708298
688.21,75,1060,2432,80288,0.6025744000000004,1.07,4392,0.0001,0.0029656891711056232
696.68,77,1058,2496,82172,0.5932486000000005,1.11,4510,0.0001,0.003691358957439661
734.88,80,1058,2560,84868,0.5799034000000003,1.32,4679,0.0001,0.006070832721889019
