time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
500,1.8408985137939453,99,-0.6927070021629333,24.36842105263158,-0.15141916275024414,0.0007,1306,0,24.36842105263158,9.547243118286133,100
1000,1.8201080560684204,199,-0.6747890114784241,27.38888888888889,-0.006971240043640137,0.0007,1309,0,27.38888888888889,7.522369384765625,200
1500,1.8545916080474854,299,-0.6716223955154419,27.2,0.06420516967773438,0.0007,1272,1,27.2,6.05798864364624,300
2000,1.4409767389297485,399,-0.6805369257926941,27.859154929577464,0.0054784417152404785,0.0007,1305,1,27.859154929577464,6.195670127868652,400
2500,1.0452396869659424,499,-0.6252089738845825,29.070588235294117,-0.0013043880462646484,0.0007,1336,1,29.070588235294117,5.587860107421875,500
3000,1.153139591217041,599,-0.6422526836395264,32.41304347826087,-0.00037550926208496094,0.0007,1353,2,32.41304347826087,4.972795486450195,600
3500,1.3803050518035889,699,-0.5267744064331055,35.2,0.015310883522033691,0.0007,1355,2,35.2,4.3856682777404785,700
4000,1.1128699779510498,799,-0.599574863910675,39.88659793814433,0.006026268005371094,0.0007,1273,3,39.88659793814433,3.726746082305908,800
4500,1.0990616083145142,899,-0.5565611124038696,43.56565656565657,-0.0005025863647460938,0.0007,1136,3,43.56565656565657,3.236021041870117,900
5000,0.9038251042366028,999,-0.551913857460022,48.72,-0.00018393993377685547,0.0007,1156,4,48.72,2.7599337100982666,1000
5500,0.8119304776191711,1099,-0.5853238105773926,52.74,0.0003604292869567871,0.0007,1169,4,52.74,2.3157734870910645,1100
6000,0.7157558798789978,1199,-0.6056886911392212,57.51,2.2649765014648438e-05,0.0007,1087,5,57.51,1.9181276559829712,1200
6500,0.5229877233505249,1299,-0.6510511636734009,61.49,2.4497509002685547e-05,0.0007,1096,5,61.49,1.5500389337539673,1300
7000,0.48297667503356934,1399,-0.6288096904754639,65.65,-4.4465065002441406e-05,0.0007,1112,6,65.65,1.2275974750518799,1400
7500,0.40343576669692993,1499,-0.6564300656318665,69.55,-9.512901306152344e-05,0.0007,1123,6,69.55,0.9307332038879395,1500
8000,0.255875825881958,1599,-0.5723156929016113,73.07,3.6835670471191406e-05,0.0007,1131,7,73.07,0.6806470155715942,1600
8500,0.29576438665390015,1699,-0.5837443470954895,77.17,-1.5020370483398438e-05,0.0007,1146,7,77.17,0.4616539478302002,1700
