time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
76,4,24429,0,0.8328000000000038,19.0,19.0,,,
133,8,7644,0,0.7073999999999883,16.625,16.625,0.37200552225112915,0.001,8
189,12,5970,0,0.5841999999999872,15.75,15.75,0.11919474601745605,0.001,22
239,16,5608,0,0.4741999999999993,14.9375,14.9375,0.21562430262565613,0.001,34
289,20,5321,0,0.3642000000000114,14.45,14.45,0.11745169758796692,0.001,47
327,24,5192,0,0.28059999999997665,13.625,13.625,0.4350275993347168,0.001,56
368,28,5072,0,0.19039999999997193,13.142857142857142,13.142857142857142,0.3268742859363556,0.001,66
407,32,4987,0,0.10459999999999603,12.71875,12.71875,0.8773451447486877,0.001,76
445,36,4889,0,0.021000000000034547,12.36111111111111,12.36111111111111,0.5057830810546875,0.001,86
482,40,4824,0,0.01,12.05,12.05,0.46689051389694214,0.001,95
521,44,4723,0,0.01,11.840909090909092,11.840909090909092,0.804209291934967,0.001,105
557,48,4681,0,0.01,11.604166666666666,11.604166666666666,0.6592612266540527,0.001,114
593,52,4621,0,0.01,11.403846153846153,11.403846153846153,0.07792066037654877,0.001,123
629,56,4595,0,0.01,11.232142857142858,11.232142857142858,0.8590645790100098,0.001,132
667,60,4563,0,0.01,11.116666666666667,11.116666666666667,1.024377703666687,0.001,141
702,64,4527,0,0.01,10.96875,10.96875,1.2699778079986572,0.001,150
742,68,4504,0,0.01,10.911764705882353,10.911764705882353,0.7798901796340942,0.001,160
779,72,4486,0,0.01,10.819444444444445,10.819444444444445,0.7635117769241333,0.001,169
814,76,4460,0,0.01,10.710526315789474,10.710526315789474,1.4975011348724365,0.001,178
850,80,4443,0,0.01,10.625,10.625,1.0735050439834595,0.001,187
885,84,4404,0,0.01,10.535714285714286,10.535714285714286,0.33266493678092957,0.001,196
923,88,4358,0,0.01,10.488636363636363,10.488636363636363,0.8885898590087891,0.001,205
961,92,4330,0,0.01,10.445652173913043,10.445652173913043,1.134868860244751,0.001,215
1000,96,4307,0,0.01,10.416666666666666,10.416666666666666,1.166746735572815,0.001,224
1036,100,4284,0,0.01,10.36,10.36,1.23833429813385,0.001,233
1075,104,4269,0,0.01,9.99,9.99,1.2066779136657715,0.001,243
1112,108,4255,0,0.01,9.79,9.79,2.1517019271850586,0.001,252
1150,112,4242,0,0.01,9.61,9.61,1.3591206073760986,0.001,262
1188,116,4240,0,0.01,9.49,9.49,1.2183529138565063,0.001,271
1223,120,4232,0,0.01,9.34,9.34,1.5168817043304443,0.001,280
1260,124,4233,0,0.01,9.33,9.33,1.27288019657135,0.001,289
1299,128,4222,0,0.01,9.31,9.31,1.227193832397461,0.001,299
1337,132,4204,0,0.01,9.3,9.3,3.0429694652557373,0.001,309
1374,136,4204,0,0.01,9.29,9.29,1.37123703956604,0.001,318
1412,140,4199,0,0.01,9.3,9.3,1.5061180591583252,0.001,327
1448,144,4200,0,0.01,9.27,9.27,1.4930062294006348,0.001,336
1484,148,4197,0,0.01,9.27,9.27,1.3364074230194092,0.001,345
1522,152,4187,0,0.01,9.29,9.29,1.2882555723190308,0.001,355
1561,156,4186,0,0.01,9.32,9.32,1.084051489830017,0.001,365
1600,160,4189,0,0.01,9.33,9.33,0.9853599667549133,0.001,374
1637,164,4176,0,0.01,9.35,9.35,1.0956348180770874,0.001,384
1674,168,4179,0,0.01,9.32,9.32,2.577319622039795,0.001,393
1713,172,4175,0,0.01,9.34,9.34,2.246619462966919,0.001,403
1751,176,4176,0,0.01,9.37,9.37,2.4861135482788086,0.001,412
1790,180,4175,0,0.01,9.4,9.4,1.6279067993164062,0.001,422
1826,184,4117,0,0.01,9.41,9.41,2.583395481109619,0.001,431
1865,188,4008,0,0.01,9.42,9.42,1.4461004734039307,0.001,441
1903,192,3961,0,0.01,9.42,9.42,3.294025182723999,0.001,450
1942,196,3949,0,0.01,9.42,9.42,2.4806411266326904,0.001,460
1980,200,3945,0,0.01,9.44,9.44,2.3641152381896973,0.001,469
2020,204,3934,0,0.01,9.45,9.45,1.290022850036621,0.001,479
2058,208,3933,0,0.01,9.46,9.46,1.1247375011444092,0.001,489
2095,212,3921,0,0.01,9.45,9.45,2.4792065620422363,0.001,498
2132,216,3919,0,0.01,9.44,9.44,2.6002373695373535,0.001,507
2170,220,3914,0,0.01,9.47,9.47,2.975172996520996,0.001,517
2207,224,3915,0,0.01,9.47,9.47,2.872898578643799,0.001,526
2250,228,3909,0,0.01,9.51,9.51,3.522711753845215,0.001,537
2289,232,3905,0,0.01,9.52,9.52,3.4247961044311523,0.001,547
2326,236,3899,0,0.01,9.52,9.52,1.365769386291504,0.001,556
2367,240,3902,0,0.01,9.55,9.55,2.925034999847412,0.001,566
2408,244,3896,0,0.01,9.6,9.6,4.25691032409668,0.001,576
2448,248,3898,0,0.01,9.64,9.64,1.4816551208496094,0.001,586
2486,252,3902,0,0.01,9.64,9.64,3.184403896331787,0.001,596
2526,256,3895,0,0.01,9.65,9.65,3.5626511573791504,0.001,606
2564,260,3894,0,0.01,9.64,9.64,2.506805419921875,0.001,615
2609,264,3890,0,0.01,9.72,9.72,2.337956190109253,0.001,627
2666,268,3895,0,0.01,9.92,9.92,1.4697368144989014,0.001,641
2711,272,3895,0,0.01,9.98,9.98,1.985320806503296,0.001,652
2784,276,3905,0,0.01,10.33,10.33,1.696176528930664,0.001,670
2980,280,3938,0,0.01,11.9,11.9,5.037602424621582,0.001,719
3152,284,3965,0,0.01,13.26,13.26,0.9067820310592651,0.001,762
3261,288,3977,0,0.01,13.96,13.96,2.2535665035247803,0.001,790
3337,292,3982,0,0.01,14.34,14.34,0.5250113010406494,0.001,809
3427,296,3994,0,0.01,14.85,14.85,2.9730875492095947,0.001,831
3497,300,4002,0,0.01,15.17,15.17,1.3741183280944824,0.001,849
3558,304,4005,0,0.01,15.38,15.38,3.126059055328369,0.001,864
3623,308,4009,0,0.01,15.65,15.65,3.815023422241211,0.001,880
3679,312,4013,0,0.01,15.84,15.84,3.3530495166778564,0.001,894
3740,316,4016,0,0.01,16.08,16.08,3.0577878952026367,0.001,909
3801,320,4014,0,0.01,16.31,16.31,0.9286365509033203,0.001,925
3851,324,4009,0,0.01,16.44,16.44,3.544703960418701,0.001,937
3900,328,4008,0,0.01,16.5,16.5,1.4693398475646973,0.001,949
3950,332,4009,0,0.01,16.61,16.61,1.4336880445480347,0.001,962
3998,336,4011,0,0.01,16.72,16.72,1.3560208082199097,0.001,974
4045,340,4012,1,0.01,16.78,16.78,1.3879367113113403,0.001,986
4100,344,4014,1,0.01,16.92,16.92,3.000149726867676,0.001,999
4149,348,4013,1,0.01,17.01,17.01,4.363456726074219,0.001,1012
4199,352,4017,1,0.01,17.13,17.13,3.9583187103271484,0.001,1024
4237,356,4017,1,0.01,17.11,17.11,3.0288712978363037,0.001,1034
4279,360,4019,1,0.01,17.15,17.15,3.7521941661834717,0.001,1044
4328,364,4022,1,0.01,17.19,17.19,6.116014003753662,0.001,1056
4379,368,3988,1,0.01,17.13,17.13,2.1952505111694336,0.001,1069
4425,372,3973,1,0.01,17.14,17.14,2.303847074508667,0.001,1081
4466,376,3965,1,0.01,16.82,16.82,1.883657455444336,0.001,1091
4510,380,3963,1,0.01,15.3,15.3,2.5971975326538086,0.001,1102
4561,384,3967,1,0.01,14.09,14.09,3.1957664489746094,0.001,1115
4604,388,3968,1,0.01,13.43,13.43,3.0978662967681885,0.001,1125
4656,392,3972,1,0.01,13.19,13.19,3.5873894691467285,0.001,1138
4707,396,3973,1,0.01,12.8,12.8,4.953299522399902,0.001,1151
4753,400,3974,1,0.01,12.56,12.56,1.8375318050384521,0.001,1163
4796,404,3976,1,0.01,12.38,12.38,3.1211740970611572,0.001,1173
4846,408,3978,1,0.01,12.23,12.23,2.8161473274230957,0.001,1186
4898,412,3979,1,0.01,12.19,12.19,3.077047348022461,0.001,1199
4949,416,3980,1,0.01,12.09,12.09,2.3368639945983887,0.001,1212
5000,420,3982,1,0.01,11.99,11.99,2.5611486434936523,0.001,1224
5053,424,3982,1,0.01,12.02,12.02,3.7076404094696045,0.001,1238
5108,428,3984,1,0.01,12.08,12.08,4.141211032867432,0.001,1251
5171,432,3987,1,0.01,12.21,12.21,5.137209892272949,0.001,1267
5228,436,3989,1,0.01,12.3,12.3,7.400168418884277,0.001,1281
5279,440,3990,1,0.01,12.34,12.34,2.2136659622192383,0.001,1294
5341,444,3989,1,0.01,12.41,12.41,2.8427557945251465,0.001,1310
5394,448,3991,1,0.01,12.45,12.45,2.1258063316345215,0.001,1323
5454,452,3993,1,0.01,12.55,12.55,6.584038734436035,0.001,1338
5511,456,3994,1,0.01,12.74,12.74,2.7822816371917725,0.001,1352
5570,460,3995,1,0.01,12.91,12.91,3.2459840774536133,0.001,1367
5630,464,3995,1,0.01,13.02,13.02,6.113937854766846,0.001,1382
5684,468,3999,1,0.01,13.05,13.05,3.3227651119232178,0.001,1395
5753,472,3999,1,0.01,13.28,13.28,6.200161933898926,0.001,1413
5831,476,4000,1,0.01,13.65,13.65,3.925753116607666,0.001,1432
5917,480,4002,1,0.01,14.07,14.07,0.7459044456481934,0.001,1454
6027,484,4010,1,0.01,14.66,14.66,6.0842719078063965,0.001,1481
6112,488,4013,1,0.01,15.08,15.08,2.193474054336548,0.001,1502
6251,492,4020,1,0.01,15.95,15.95,0.6173841953277588,0.001,1537
6407,496,4031,1,0.01,17.0,17.0,1.850157380104065,0.001,1576
6736,500,4055,1,0.01,19.83,19.83,5.254139423370361,0.001,1658
7148,504,4084,1,0.01,23.52,23.52,6.46458625793457,0.001,1761
7382,508,4099,1,0.01,25.36,25.36,4.907415390014648,0.001,1820
7591,512,4110,1,0.01,26.93,26.93,3.3197765350341797,0.001,1872
7842,516,4125,1,0.01,28.93,28.93,2.485193967819214,0.001,1935
8091,520,4141,1,0.01,30.91,30.91,3.542780637741089,0.001,1997
8294,524,4149,1,0.01,32.41,32.41,5.438724040985107,0.001,2048
8531,528,4159,2,0.01,34.23,34.23,4.077462673187256,0.001,2107
8878,532,4176,2,0.01,37.07,37.07,2.7171521186828613,0.001,2194
9101,536,4184,2,0.01,38.73,38.73,1.0988826751708984,0.001,2250
9392,540,4196,2,0.01,41.13,41.13,3.728084087371826,0.001,2322
9920,544,4220,2,0.01,45.79,45.79,4.085007667541504,0.001,2454
10303,548,4235,2,0.01,49.09,49.09,0.1778172254562378,0.001,2550
10683,552,4250,2,0.01,52.29,52.29,4.465291500091553,0.001,2645
10999,556,4261,2,0.01,54.88,54.88,3.584956645965576,0.001,2724
11364,560,4274,2,0.01,57.94,57.94,4.309152126312256,0.001,2815
11650,564,4280,2,0.01,60.2,60.2,1.0677076578140259,0.001,2887
11987,568,4285,2,0.01,63.03,63.03,1.1109073162078857,0.001,2971
12239,572,4285,2,0.01,64.86,64.86,2.190384864807129,0.001,3034
12446,576,4243,2,0.01,66.15,66.15,4.416623115539551,0.001,3086
12716,580,4245,2,0.01,67.99,67.99,10.130058288574219,0.001,3153
12934,584,4247,3,0.01,69.07,69.07,4.46628475189209,0.001,3208
13184,588,4251,3,0.01,70.72,70.72,1.0722655057907104,0.001,3270
13476,592,4240,3,0.01,72.25,72.25,2.265148401260376,0.001,3343
13711,596,4245,3,0.01,73.04,73.04,0.8239548206329346,0.001,3402
13902,600,4248,3,0.01,71.66,71.66,0.14023934304714203,0.001,3450
14129,604,4252,3,0.01,69.81,69.81,2.2932651042938232,0.001,3507
14346,608,4257,3,0.01,69.64,69.64,2.1990272998809814,0.001,3561
14620,612,4263,3,0.01,70.29,70.29,0.7351756691932678,0.001,3629
14827,616,4267,3,0.01,69.85,69.85,4.616072177886963,0.001,3681
14990,620,4271,3,0.01,68.99,68.99,0.058607570827007294,0.001,3722
15168,624,4274,3,0.01,68.74,68.74,0.08189655095338821,0.001,3766
15350,628,4277,3,0.01,68.19,68.19,3.4255995750427246,0.001,3812
15508,632,4280,3,0.01,66.3,66.3,10.426010131835938,0.001,3851
15670,636,4281,3,0.01,65.69,65.69,0.08913180232048035,0.001,3892
15812,640,4283,3,0.01,64.2,64.2,0.3566046357154846,0.001,3927
15998,644,4286,3,0.01,60.78,60.78,0.06887495517730713,0.001,3974
16107,648,4287,3,0.01,58.04,58.04,6.717053413391113,0.001,4001
16241,652,4288,3,0.01,55.58,55.58,8.373455047607422,0.001,4035
16395,656,4290,3,0.01,53.96,53.96,3.7581000328063965,0.001,4073
16512,660,4289,3,0.01,51.48,51.48,3.6669979095458984,0.001,4102
16622,664,4289,3,0.01,49.72,49.72,0.5251359343528748,0.001,4130
