time/time_elapsed,rollout/exploration_rate,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss
0,0.9942400000000002,96,4,9831,24.0,24.0,,,
0,0.9893799999999997,177,8,10436,22.125,22.125,,,
0,0.9825999999999999,290,12,11431,24.166666666666668,24.166666666666668,,,
0,0.9794800000000001,342,16,11830,21.375,21.375,,,
0,0.97264,456,20,12806,22.8,22.8,,,
0,0.9685000000000001,525,24,13175,21.875,21.875,,,
0,0.96136,644,28,14024,23.0,23.0,,,
0,0.9511599999999998,814,32,14835,25.4375,25.4375,,,
0,0.9472600000000002,879,36,14986,24.416666666666668,24.416666666666668,,,
0,0.9402999999999999,995,40,15390,24.875,24.875,,,
0,0.9353800000000003,1077,44,6204,24.477272727272727,24.477272727272727,128,0.0023,0.014376094192186883
0,0.9298600000000001,1169,48,6526,24.354166666666668,24.354166666666668,,,
0,0.9259000000000002,1235,52,6735,23.75,23.75,,,
0,0.9211599999999998,1314,56,4381,23.464285714285715,23.464285714285715,256,0.0023,0.03167179699266853
0,0.9173199999999999,1378,60,4532,22.966666666666665,22.966666666666665,,,
0,0.9125800000000002,1457,64,4709,22.765625,22.765625,,,
0,0.9068199999999997,1553,68,3721,22.83823529411765,22.83823529411765,384,0.0023,0.0532409337174613
0,0.9032200000000001,1613,72,3823,22.40277777777778,22.40277777777778,,,
0,0.8971,1715,76,4006,22.56578947368421,22.56578947368421,,,
0,0.8918200000000001,1803,80,3347,22.5375,22.5375,512,0.0023,0.062467529151035706
0,0.88672,1888,84,3469,22.476190476190474,22.476190476190474,,,
0,0.8800600000000003,1999,88,3625,22.71590909090909,22.71590909090909,,,
0,0.87412,2098,92,3176,22.804347826086957,22.804347826086957,640,0.0023,0.06958794673118973
0,0.8657200000000003,2238,96,3341,23.3125,23.3125,,,
0,0.8591200000000003,2348,100,3022,23.48,23.48,768,0.0023,0.06547658274212154
0,0.8543799999999999,2427,104,3102,23.31,23.31,,,
0,0.8489200000000001,2518,108,3193,23.41,23.41,,,
0,0.8420799999999999,2632,112,2949,23.42,23.42,896,0.0023,0.07656173755094642
0,0.8369799999999998,2717,116,3023,23.75,23.75,,,
0,0.83182,2803,120,3097,23.47,23.47,,,
1,0.8276199999999998,2873,124,2846,23.48,23.48,1024,0.0023,0.0729343988095934
1,0.8192799999999998,3012,128,2954,23.68,23.68,,,
1,0.8133999999999999,3110,132,2750,22.96,22.96,1152,0.0023,0.07386278696139925
1,0.8083600000000002,3194,136,2809,23.15,23.15,,,
1,0.8005599999999997,3324,140,2901,23.29,23.29,,,
1,0.7940799999999999,3432,144,2725,23.55,23.55,1280,0.0023,0.08116895723651396
1,0.7899400000000001,3501,148,2769,23.32,23.32,,,
1,0.7835799999999997,3607,152,2625,23.72,23.72,1408,0.0023,0.09835484719224041
1,0.7752399999999997,3746,156,2707,24.32,24.32,,,
1,0.7718800000000003,3802,160,2738,24.24,24.24,,,
1,0.7653999999999999,3910,164,2602,24.53,24.53,1536,0.0023,0.10412005503167165
1,0.7533400000000001,4111,168,2544,25.58,25.58,1664,0.0023,0.1231797919535893
1,0.7497399999999999,4171,172,2573,25.58,25.58,,,
1,0.7393000000000001,4345,176,2660,26.3,26.3,,,
1,0.7317399999999998,4471,180,2562,26.68,26.68,1792,0.0023,0.13334361926536076
1,0.7244199999999998,4593,184,2618,27.05,27.05,,,
1,0.7178800000000003,4702,188,2513,27.03,27.03,1920,0.0023,0.15286823550559347
1,0.7133800000000001,4777,192,2545,26.79,26.79,,,
1,0.70564,4906,196,2466,26.68,26.68,2048,0.0023,0.14861021131946472
1,0.69892,5018,200,2512,26.7,26.7,,,
2,0.6919,5135,204,2431,27.08,27.08,2176,0.0023,0.1435183439971297
2,0.6856,5240,208,2470,27.22,27.22,,,
2,0.68032,5328,212,2503,26.96,26.96,,,
2,0.6764800000000002,5392,216,2410,26.75,26.75,2304,0.0023,0.16652752241498092
2,0.6711399999999998,5481,220,2442,26.78,26.78,,,
2,0.66526,5579,224,2478,27.06,27.06,,,
2,0.6594399999999998,5676,228,2403,26.64,26.64,2432,0.0023,0.213808247630368
2,0.65368,5772,232,2435,26.62,26.62,,,
2,0.6439600000000003,5934,236,2389,27.4,27.4,2560,0.0023,0.21258900300017558
2,0.6398800000000002,6002,240,2410,26.78,26.78,,,
2,0.6353800000000001,6077,244,2434,26.45,26.45,,,
2,0.6312400000000002,6146,248,2357,26.45,26.45,2688,0.0023,0.24234546854859218
2,0.62764,6206,252,2375,25.99,25.99,,,
2,0.6207999999999998,6320,256,2409,25.74,25.74,,,
2,0.6167199999999997,6388,260,2430,25.86,25.86,,,
2,0.6092800000000003,6512,264,2373,26.02,26.02,2816,0.0023,0.2087691887645633
2,0.5985399999999998,6691,268,2318,25.8,25.8,2944,0.0023,0.25816383834171575
2,0.595,6750,272,2333,25.79,25.79,,,
2,0.5864199999999997,6893,276,2371,25.48,25.48,,,
3,0.5782600000000002,7029,280,2315,25.58,25.58,3072,0.0023,0.23470828935387544
3,0.5692599999999999,7179,284,2280,25.86,25.86,3200,0.0023,0.27129462589800823
3,0.5566599999999999,7389,288,2334,26.87,26.87,,,
3,0.5506000000000002,7490,292,2280,27.13,27.13,3328,0.0023,0.2986497978999978
3,0.5463400000000003,7561,296,2296,26.55,26.55,,,
3,0.5374000000000003,7710,300,2211,26.92,26.92,3456,0.0023,0.2996250594005687
3,0.52942,7843,304,2242,27.08,27.08,,,
3,0.5234799999999997,7942,308,2197,27.02,27.02,3584,0.0023,0.3345171287219273
3,0.51448,8092,312,2230,27.64,27.64,,,
3,0.50116,8314,316,2199,29.22,29.22,3712,0.0023,0.3160038358037127
4,0.4766199999999998,8723,320,2167,32.42,32.42,3968,0.0023,0.319989576790249
4,0.46810000000000007,8865,324,2195,32.86,32.86,,,
4,0.4589199999999998,9018,328,2165,33.42,33.42,4096,0.0023,0.32198935601627454
4,0.4375,9375,332,2179,36.03,36.03,4224,0.0023,0.3014245611266233
4,0.41986000000000034,9669,336,2184,37.35,37.35,4352,0.0023,0.40331581075588474
4,0.4162600000000002,9729,340,2145,37.27,37.27,4480,0.0023,0.4691999515343923
4,0.4126000000000001,9790,344,2155,37.13,37.13,,,
4,0.4029999999999999,9950,348,2183,38.04,38.04,,,
4,0.3944200000000002,10093,352,2160,38.87,38.87,4608,0.0023,0.4252230569254607
4,0.39052,10158,356,2170,38.38,38.38,,,
4,0.38716000000000006,10214,360,2180,38.26,38.26,,,
4,0.3750399999999998,10416,364,2167,39.04,39.04,4736,0.0023,0.5011695828288794
4,0.3571000000000002,10715,368,2170,40.24,40.24,4864,0.0023,0.5331212116288953
5,0.3353200000000002,11078,372,2143,43.28,43.28,5120,0.0023,0.5562863177037798
5,0.32524,11246,376,2169,43.53,43.53,,,
5,0.28834000000000015,11861,380,2138,48.32,48.32,5504,0.0023,0.4754866915754974
5,0.2757999999999998,12070,384,2128,48.91,48.91,5632,0.0023,0.5453702885424718
5,0.2671000000000001,12215,388,2148,48.26,48.26,,,
5,0.2623599999999997,12294,392,2121,48.04,48.04,5760,0.0023,0.4972434964729473
5,0.25851999999999997,12358,396,2130,47.97,47.97,,,
5,0.25264,12456,400,2142,47.46,47.46,,,
5,0.2485599999999999,12524,404,2151,46.81,46.81,,,
6,0.22630000000000006,12895,408,2128,49.53,49.53,6016,0.0023,0.5778565687069204
6,0.21958,13007,412,2142,49.15,49.15,,,
6,0.21502,13083,416,2115,47.69,47.69,6144,0.0023,0.5631732584006386
6,0.20235999999999965,13294,420,2141,45.71,45.71,,,
6,0.18628000000000033,13562,424,2140,46.97,46.97,6272,0.0023,0.5180983655154705
6,0.16858000000000029,13857,428,2110,48.39,48.39,6528,0.0023,0.5669487068953458
6,0.1533399999999997,14111,432,2108,47.36,47.36,6656,0.0023,0.6206747531541623
6,0.14824000000000015,14196,436,2117,45.27,45.27,,,
6,0.1405599999999998,14324,440,2132,45.95,45.95,,,
6,0.13480000000000003,14420,444,2111,46.3,46.3,6784,0.0023,0.7130114852625411
6,0.12850000000000017,14525,448,2123,45.75,45.75,,,
