time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
58,0,14.5,14.5,15148,4,0.8723999999999701,,,
126,0,15.75,15.75,5994,8,0.7228000000000159,6,0.5236691236495972,0.001
197,0,16.416666666666668,16.416666666666668,3922,12,0.5666000000000184,24,0.21633388102054596,0.001
262,0,16.375,16.375,3367,16,0.42360000000003417,40,0.126410573720932,0.001
312,0,15.6,15.6,3116,20,0.313599999999973,52,0.5506910681724548,0.001
355,0,14.791666666666666,14.791666666666666,2592,24,0.21900000000001274,63,0.1736658215522766,0.001
395,0,14.107142857142858,14.107142857142858,2302,28,0.13100000000002243,73,0.10086314380168915,0.001
437,0,13.65625,13.65625,2008,32,0.03860000000000341,84,0.5188885927200317,0.001
476,0,13.222222222222221,13.222222222222221,1845,36,0.01,93,0.27390024065971375,0.001
516,0,12.9,12.9,1757,40,0.01,103,0.9439849257469177,0.001
553,0,12.568181818181818,12.568181818181818,1644,44,0.01,113,0.740522027015686,0.001
591,0,12.3125,12.3125,1575,48,0.01,122,0.44667962193489075,0.001
627,0,12.057692307692308,12.057692307692308,1515,52,0.01,131,0.9134981036186218,0.001
664,0,11.857142857142858,11.857142857142858,1496,56,0.01,140,0.5494132041931152,0.001
700,0,11.666666666666666,11.666666666666666,1446,60,0.01,149,0.5467214584350586,0.001
737,0,11.515625,11.515625,1404,64,0.01,159,0.7865675687789917,0.001
775,0,11.397058823529411,11.397058823529411,1372,68,0.01,168,0.38306233286857605,0.001
813,0,11.291666666666666,11.291666666666666,1384,72,0.01,178,1.7855459451675415,0.001
850,0,11.18421052631579,11.18421052631579,1403,76,0.01,187,0.47274455428123474,0.001
889,0,11.1125,11.1125,1422,80,0.01,197,0.7753140926361084,0.001
928,0,11.047619047619047,11.047619047619047,1441,84,0.01,206,0.6332241892814636,0.001
966,0,10.977272727272727,10.977272727272727,1456,88,0.01,216,0.4349043369293213,0.001
1005,0,10.923913043478262,10.923913043478262,1468,92,0.01,226,1.8427581787109375,0.001
1042,0,10.854166666666666,10.854166666666666,1477,96,0.01,235,1.0238004922866821,0.001
1079,0,10.79,10.79,1446,100,0.01,244,0.9892188906669617,0.001
1117,0,10.59,10.59,1417,104,0.01,254,0.34714630246162415,0.001
1155,0,10.29,10.29,1395,108,0.01,263,0.2385224550962448,0.001
1192,0,9.95,9.95,1383,112,0.01,272,0.6719658374786377,0.001
1229,0,9.67,9.67,1359,116,0.01,282,0.7559457421302795,0.001
1267,0,9.55,9.55,1367,120,0.01,291,2.046705722808838,0.001
1303,0,9.48,9.48,1376,124,0.01,300,2.097123622894287,0.001
1339,0,9.44,9.44,1386,128,0.01,309,1.1128554344177246,0.001
1378,1,9.41,9.41,1367,132,0.01,319,0.29937687516212463,0.001
1417,1,9.41,9.41,1358,136,0.01,329,1.741398572921753,0.001
1454,1,9.38,9.38,1342,140,0.01,338,2.9857571125030518,0.001
1489,1,9.36,9.36,1339,144,0.01,347,1.0600130558013916,0.001
1526,1,9.35,9.35,1323,148,0.01,356,2.6779587268829346,0.001
1562,1,9.35,9.35,1308,152,0.01,365,2.0645596981048584,0.001
1599,1,9.35,9.35,1297,156,0.01,374,0.9983601570129395,0.001
1636,1,9.36,9.36,1295,160,0.01,383,1.5549137592315674,0.001
1672,1,9.35,9.35,1287,164,0.01,392,3.664999485015869,0.001
1709,1,9.34,9.34,1276,168,0.01,402,1.1831101179122925,0.001
1747,1,9.34,9.34,1267,172,0.01,411,2.5661745071411133,0.001
1784,1,9.34,9.34,1258,176,0.01,420,1.95271897315979,0.001
1823,1,9.34,9.34,1248,180,0.01,430,3.5282702445983887,0.001
1860,1,9.32,9.32,1243,184,0.01,439,1.6303350925445557,0.001
1902,1,9.36,9.36,1233,188,0.01,450,4.609318733215332,0.001
1940,1,9.35,9.35,1233,192,0.01,459,3.166032552719116,0.001
1977,1,9.35,9.35,1223,196,0.01,469,2.1551995277404785,0.001
2015,1,9.36,9.36,1216,200,0.01,478,3.288673162460327,0.001
2052,1,9.35,9.35,1210,204,0.01,487,4.263593673706055,0.001
2091,1,9.36,9.36,1203,208,0.01,497,2.4747776985168457,0.001
2126,1,9.34,9.34,1197,212,0.01,506,2.633202075958252,0.001
2162,1,9.33,9.33,1192,216,0.01,515,4.9267191886901855,0.001
2200,1,9.33,9.33,1187,220,0.01,524,1.8800266981124878,0.001
2239,1,9.36,9.36,1194,224,0.01,534,3.56850004196167,0.001
2277,1,9.38,9.38,1202,228,0.01,544,4.04806661605835,0.001
2314,1,9.36,9.36,1210,232,0.01,553,5.139999866485596,0.001
2350,1,9.33,9.33,1203,236,0.01,562,3.2028865814208984,0.001
2388,1,9.34,9.34,1199,240,0.01,571,2.3676464557647705,0.001
2427,2,9.38,9.38,1204,244,0.01,581,2.9549787044525146,0.001
2465,2,9.39,9.39,1197,248,0.01,591,2.9939048290252686,0.001
2503,2,9.41,9.41,1192,252,0.01,600,5.185511112213135,0.001
2542,2,9.43,9.43,1193,256,0.01,610,2.521249294281006,0.001
2581,2,9.45,9.45,1189,260,0.01,620,2.39058518409729,0.001
2615,2,9.43,9.43,1192,264,0.01,628,6.100918292999268,0.001
2651,2,9.42,9.42,1198,268,0.01,637,2.405374526977539,0.001
2690,2,9.43,9.43,1203,272,0.01,647,2.513335704803467,0.001
2727,2,9.43,9.43,1198,276,0.01,656,2.5494093894958496,0.001
2767,2,9.44,9.44,1197,280,0.01,666,6.048348426818848,0.001
2806,2,9.46,9.46,1192,284,0.01,676,5.387356758117676,0.001
2844,2,9.42,9.42,1188,288,0.01,685,3.1712865829467773,0.001
2881,2,9.41,9.41,1183,292,0.01,695,3.2523679733276367,0.001
2918,2,9.41,9.41,1179,296,0.01,704,4.712703227996826,0.001
2956,2,9.41,9.41,1175,300,0.01,713,4.389394760131836,0.001
2993,2,9.41,9.41,1174,304,0.01,723,4.230824947357178,0.001
3031,2,9.4,9.4,1170,308,0.01,732,1.9619507789611816,0.001
3069,2,9.43,9.43,1165,312,0.01,742,4.435094356536865,0.001
3108,2,9.46,9.46,1163,316,0.01,751,3.968064308166504,0.001
3147,2,9.47,9.47,1159,320,0.01,761,3.1215364933013916,0.001
3182,2,9.43,9.43,1157,324,0.01,770,4.150323390960693,0.001
3221,2,9.44,9.44,1152,328,0.01,780,3.2726073265075684,0.001
3261,2,9.47,9.47,1153,332,0.01,790,3.375793933868408,0.001
3298,2,9.48,9.48,1149,336,0.01,799,1.5610363483428955,0.001
