time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
85,0,21.25,21.25,3257,4,0.9983000000000002,,,
158,0,19.75,19.75,3767,8,0.99684,,,
250,0,20.833333333333332,20.833333333333332,4464,12,0.9949999999999999,,,
321,0,20.0625,20.0625,4536,16,0.9935799999999999,,,
390,0,19.5,19.5,4796,20,0.9922000000000002,,,
463,0,19.291666666666668,19.291666666666668,4853,24,0.99074,,,
549,0,19.607142857142858,19.607142857142858,5007,28,0.98902,,,
640,0,20.0,20.0,5377,32,0.9872000000000001,,,
690,0,19.166666666666668,19.166666666666668,5509,36,0.9862000000000002,,,
777,0,19.425,19.425,5222,40,0.9844600000000001,,,
924,0,21.0,21.0,5660,44,0.9815200000000002,,,
1007,0,20.979166666666668,20.979166666666668,5891,48,0.97986,,,
1088,0,20.923076923076923,20.923076923076923,2029,52,0.97824,128,0.013071351349054794,0.0023
1198,0,21.392857142857142,21.392857142857142,2163,56,0.9760400000000002,,,
1269,0,21.15,21.15,2232,60,0.9746200000000003,,,
1397,0,21.828125,21.828125,1454,64,0.9720600000000001,256,0.03561662654101383,0.0023
1527,0,22.455882352941178,22.455882352941178,1549,68,0.9694599999999998,,,
1630,1,22.63888888888889,22.63888888888889,1177,72,0.9674000000000003,384,0.052413146528124344,0.0023
1699,1,22.355263157894736,22.355263157894736,1219,76,0.9660199999999999,,,
1780,1,22.25,22.25,1261,80,0.9643999999999999,,,
1914,1,22.785714285714285,22.785714285714285,1189,84,0.9617199999999997,512,0.05889413737531868,0.0023
2001,1,22.738636363636363,22.738636363636363,1236,88,0.9599800000000003,,,
2152,1,23.391304347826086,23.391304347826086,1185,92,0.9569599999999998,640,0.06688676185149234,0.0023
2230,1,23.229166666666668,23.229166666666668,1222,96,0.9554000000000002,,,
2452,2,24.52,24.52,1095,100,0.9509599999999998,768,0.07704699448368046,0.0023
2518,2,24.33,24.33,1120,104,0.9496399999999998,,,
2638,2,24.8,24.8,927,108,0.9472400000000001,896,0.07945059219491668,0.0023
2701,2,24.51,24.51,947,112,0.9459799999999998,,,
2842,3,25.21,25.21,840,116,0.94316,1024,0.08642857329323306,0.0023
2938,3,25.48,25.48,866,120,0.9412400000000001,,,
2997,3,25.34,25.34,881,124,0.9400599999999997,,,
3111,4,25.62,25.62,762,128,0.9377800000000001,1152,0.09739504102617502,0.0023
3188,4,25.48,25.48,777,132,0.93624,,,
3270,4,25.8,25.8,794,136,0.9345999999999999,,,
3356,4,25.79,25.79,698,140,0.9328799999999999,1280,0.10859702508605551,0.0023
3476,4,25.52,25.52,721,144,0.9304800000000002,,,
3535,4,25.28,25.28,731,148,0.9292999999999998,,,
3632,5,25.44,25.44,657,152,0.9273599999999997,1408,0.12336303514166502,0.0023
3714,5,25.16,25.16,671,156,0.9257200000000003,,,
3814,5,25.45,25.45,686,160,0.9237199999999999,,,
3883,6,24.86,24.86,631,164,0.9223400000000002,1536,0.11949607455608202,0.0023
4002,6,24.75,24.75,649,168,0.9199599999999999,,,
4114,6,24.84,24.84,613,172,0.9177199999999999,1664,0.11679964021459455,0.0023
4187,6,24.88,24.88,623,176,0.9162600000000003,,,
4260,6,24.8,24.8,632,180,0.9148000000000001,,,
4361,7,24.47,24.47,587,184,0.9127800000000001,1792,0.12071703852780047,0.0023
4500,7,24.99,24.99,604,188,0.9099999999999999,,,
4638,8,24.86,24.86,569,192,0.9072399999999998,1920,0.14658553663321072,0.0023
4864,8,26.34,26.34,595,196,0.9027200000000002,,,
4968,8,25.16,25.16,561,200,0.9006399999999999,2048,0.17330237807618687,0.0023
5086,8,25.68,25.68,574,204,0.8982799999999997,,,
5164,9,25.26,25.26,542,208,0.8967200000000002,2176,0.17150011434569024,0.0023
5309,9,26.08,26.08,555,212,0.8938199999999998,,,
5396,10,25.54,25.54,534,216,0.8920799999999998,2304,0.18788573749770876,0.0023
5460,10,25.22,25.22,540,220,0.8908,,,
5529,10,25.32,25.32,547,224,0.8894200000000003,,,
5628,10,25.17,25.17,556,228,0.88744,,,
5774,10,25.86,25.86,542,232,0.8845200000000002,2432,0.1968689041386824,0.0023
5909,11,26.39,26.39,527,236,0.8818199999999998,2560,0.22118554766348097,0.0023
5974,11,26.18,26.18,532,240,0.88052,,,
6058,11,25.82,25.82,539,244,0.8788400000000003,,,
6150,11,26.15,26.15,516,248,0.8770000000000002,2688,0.2168866909632925,0.0023
6250,11,26.18,26.18,523,252,0.8749999999999998,,,
6393,11,26.79,26.79,535,256,0.8721399999999997,,,
6474,12,26.6,26.6,513,260,0.8705199999999997,2816,0.24235366741777398,0.0023
6546,12,26.63,26.63,519,264,0.8690800000000003,,,
6608,12,26.06,26.06,523,268,0.8678400000000002,,,
6692,13,25.78,25.78,502,272,0.8661599999999998,2944,0.27235620078863576,0.0023
6771,13,25.84,25.84,508,276,0.8645800000000001,,,
6855,13,25.95,25.95,514,280,0.8628999999999998,,,
