time/fps,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_loss,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations
627,0.0007,99,87.65850830078125,103.2,-0.05302536487579346,-0.08040307462215424,-1.1364192962646484,1600,-335.68646513333334,2,100
961,0.0007,199,413.29486083984375,121.52,-0.004334568977355957,-0.010513439774513245,-0.9722486734390259,3200,-432.6570222799999,3,200
1085,0.0007,299,384.95745849609375,124.57894736842105,-0.0036957263946533203,0.26550397276878357,-0.9867016077041626,4800,-474.5778850789473,4,300
1207,0.0007,399,922.2171630859375,121.75,-0.0013161897659301758,-0.365103542804718,-0.8233696222305298,6400,-483.7860602884615,5,400
1265,0.0007,499,19.9027099609375,117.04411764705883,-0.006909966468811035,0.48143720626831055,-0.7991678714752197,8000,-497.6039428382353,6,500
1343,0.0007,599,42.58830261230469,116.65853658536585,-0.003504514694213867,0.006317317020148039,-0.8744717836380005,9600,-526.1321604390245,7,600
1420,0.0007,699,1722.191650390625,115.98958333333333,-0.0001995563507080078,0.07460448145866394,-0.7150623798370361,11200,-536.0356446770833,7,700
1480,0.0007,799,4988.89990234375,116.78,-1.8358230590820312e-05,0.18594589829444885,-0.5988144874572754,12800,-572.42750692,8,800
1524,0.0007,899,1.5022425651550293,108.39,-0.3581589460372925,-0.24744343757629395,-0.9257159233093262,14400,-580.0595645200001,9,900
1558,0.0007,999,1587.9434814453125,103.95,-0.001010894775390625,-0.16547642648220062,-0.7197547554969788,16000,-596.84390665,10,1000
1596,0.0007,1099,224.2177276611328,101.98,-0.0028573274612426758,-0.0615670420229435,-0.9214118123054504,17600,-610.20147443,11,1100
1627,0.0007,1199,7207.5537109375,101.61,0.008537352085113525,0.6668981313705444,-0.4465150833129883,19200,-620.2512224400001,11,1200
1656,0.0007,1299,337.8946533203125,99.21,-0.01668691635131836,-0.23553578555583954,-0.619080662727356,20800,-618.4933905199999,12,1300
1685,0.0007,1399,2339.1220703125,98.48,0.0019034147262573242,0.38458216190338135,-0.5701985359191895,22400,-623.15431218,13,1400
1711,0.0007,1499,3008.3935546875,98.85,-5.221366882324219e-05,0.23343577980995178,-0.5272749066352844,24000,-626.57265247,14,1500
1739,0.0007,1599,27.457101821899414,100.65,-4.458066463470459,0.34802114963531494,-0.9900823831558228,25600,-629.87989796,14,1600
1764,0.0007,1699,666.2535400390625,104.44,0.0707821249961853,0.010640501976013184,-0.39967185258865356,27200,-634.2549336100001,15,1700
1785,0.0007,1799,120.89266204833984,108.01,0.09148204326629639,0.017782583832740784,-0.8793630599975586,28800,-607.30473752,16,1800
1803,0.0007,1899,507.6764221191406,112.0,0.6665475368499756,-0.42768293619155884,-0.7877836227416992,30400,-571.9549662,16,1900
1822,0.0007,1999,72.30158996582031,115.1,-5.92471170425415,0.02500917762517929,-1.0478510856628418,32000,-556.19012903,17,2000
1840,0.0007,2099,647.183837890625,115.0,0.014643430709838867,0.06636904180049896,-0.9252383708953857,33600,-541.64486009,18,2100
1856,0.0007,2199,4853.533203125,116.82,-0.0033377408981323242,-0.007909625768661499,-0.231550395488739,35200,-535.72180138,18,2200
1871,0.0007,2299,6.647680282592773,121.35,-0.003003239631652832,0.4043833315372467,-0.8524269461631775,36800,-525.1726202699999,19,2300
1885,0.0007,2399,368.157958984375,128.04,-0.37786364555358887,-0.21767234802246094,-0.9750663042068481,38400,-511.37298699999997,20,2400
1898,0.0007,2499,302.13397216796875,133.88,-0.002556920051574707,0.2683541476726532,-0.4194720685482025,40000,-499.26091365,21,2500
1910,0.0007,2599,127.8404541015625,139.76,0.4422258734703064,0.04392453283071518,-1.1838462352752686,41600,-492.02191730000015,21,2600
