time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/learning_rate,train/loss
2077,4,0,83.5,-173.178744,0.9506477611940379,334,58,0.001,1.3182189464569092
2219,8,0,102.0,-186.54683225,0.8794268656716361,816,178,0.001,1.0830907821655273
2264,12,0,102.66666666666667,-185.76601300000002,0.8179582089552223,1232,282,0.001,0.699192464351654
2245,16,0,104.0625,-170.99996525,0.7539776119402944,1665,391,0.001,0.7563138604164124
2258,20,0,105.2,-160.399774,0.6891104477611948,2104,500,0.001,3.5209310054779053
1771,24,1,115.75,-141.82208116666666,0.5895194029850824,2778,669,0.001,1.684018850326538
1605,28,2,122.5,-132.70524135714288,0.4931791044776055,3430,832,0.001,2.2701141834259033
1561,32,2,127.59375,-120.583489625,0.39669104477612716,4083,995,0.001,3.6394453048706055
1297,36,4,155.22222222222223,-103.04424908333334,0.17431044776118854,5588,1371,0.001,2.997636079788208
1188,40,5,170.275,-92.16404709999999,0.01,6811,1677,0.001,1.7024197578430176
1274,44,6,192.5681818181818,-83.36969549999999,0.01,8473,2093,0.001,2.557788372039795
1320,48,7,217.125,-63.621541979166665,0.01,10422,2580,0.001,0.9663239121437073
1372,52,10,277.34615384615387,-59.19281028846154,0.01,14422,3580,0.001,0.8206697106361389
1256,56,14,316.3392857142857,-47.492113214285716,0.01,17715,4403,0.001,2.0162830352783203
1329,60,15,353.4,-40.626014733333335,0.01,21204,5275,0.001,0.3867642879486084
1357,64,16,356.828125,-37.750858109374995,0.01,22837,5684,0.001,0.4131048917770386
1309,68,18,360.8235294117647,-41.17534538235293,0.01,24536,6108,0.001,0.8577332496643066
1284,72,19,354.09722222222223,-49.34476,0.01,25495,6348,0.001,0.6222542524337769
1267,76,20,345.5,-54.29040413157894,0.01,26258,6539,0.001,0.3791390359401703
1273,80,21,339.2,-57.4948569875,0.01,27136,6758,0.001,0.5221107006072998
