time/fps,train/learning_rate,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/loss,rollout/ep_rew_mean,time/time_elapsed
2630,0.001,4,71,96.75,0.9428164179104439,387,1.044998049736023,-280.7023815,0
2609,0.001,8,172,98.625,0.8834164179104419,789,2.2951483726501465,-187.63474587500002,0
2542,0.001,12,286,103.91666666666667,0.8157417910447764,1247,0.9471483826637268,-171.84771350000003,0
1918,0.001,16,409,108.625,0.7431910447761169,1738,0.701802134513855,-186.4308148125,0
1644,0.001,20,549,114.9,0.6604447761193997,2298,0.73382967710495,-173.92846279999998,1
1741,0.001,24,685,118.5,0.5797671641791108,2844,3.1539359092712402,-187.97030695833334,1
1912,0.001,28,1234,179.92857142857142,0.2555791044776139,5038,1.4221376180648804,-168.19953614285717,2
1955,0.001,32,1859,235.53125,0.01,7537,0.873373806476593,-158.62598515625,3
1971,0.001,36,2428,272.6111111111111,0.01,9814,0.4789814352989197,-148.33266255555557,4
1981,0.001,40,2878,290.4,0.01,11616,0.9015686511993408,-134.127748025,5
1988,0.001,44,3812,348.8863636363636,0.01,15351,0.8309410810470581,-134.4125265681818,7
1613,0.001,48,4812,403.1458333333333,0.01,19351,0.6765828132629395,-129.99041270833334,11
1437,0.001,52,5812,449.0576923076923,0.01,23351,0.27351245284080505,-124.74840707692307,16
1325,0.001,56,6812,488.4107142857143,0.01,27351,0.28551051020622253,-119.60220226785714,20
1392,0.001,60,7812,522.5166666666667,0.01,31351,0.20990820229053497,-114.58660880000001,22
1448,0.001,64,8812,552.359375,0.01,35351,0.11829200387001038,-107.727030390625,24
1497,0.001,68,9812,578.6911764705883,0.01,39351,0.20162896811962128,-102.63186088235295,26
1536,0.001,72,10749,598.5972222222222,0.01,43099,0.2784891128540039,-101.90441916666667,28
1572,0.001,76,11701,617.1973684210526,0.01,46907,0.47519129514694214,-95.14958789473685,29
1588,0.001,80,12148,608.675,0.01,48694,0.21535035967826843,-85.79511743750001,30
1611,0.001,84,12883,614.6785714285714,0.01,51633,0.5386042594909668,-76.08781913095238,32
1636,0.001,88,13741,625.7386363636364,0.01,55065,0.27554818987846375,-69.28732302272728,33
1656,0.001,92,14458,629.7065217391304,0.01,57933,0.3263530135154724,-60.42921566304347,34
1671,0.001,96,15046,627.96875,0.01,60285,0.9724474549293518,-54.597181718749994,36
1690,0.001,100,15847,634.89,0.01,63489,0.29058587551116943,-54.45715373999999,37
1712,0.001,104,16847,671.02,0.01,67489,0.21098801493644714,-43.08704247000001,39
1731,0.001,108,17847,707.0,0.01,71489,0.16126748919487,-40.033568089999996,41
1748,0.001,112,18847,742.42,0.01,75489,0.14232942461967468,-35.2060735,43
1764,0.001,116,19847,777.51,0.01,79489,0.10648340731859207,-27.15763476,45
1780,0.001,120,20847,811.91,0.01,83489,0.1378312110900879,-22.189893180000002,46
1793,0.001,124,21847,846.45,0.01,87489,0.0873190313577652,-11.349037500000001,48
1806,0.001,128,22847,864.51,0.01,91489,0.19079436361789703,-9.351464759999999,50
1818,0.001,132,23847,879.52,0.01,95489,0.07311031967401505,-5.399274439999997,52
1828,0.001,136,24761,893.31,0.01,99145,0.07588286697864532,1.6956067300000017,54
1806,0.001,140,25083,888.18,0.01,100434,0.22647279500961304,4.567734380000001,55
1774,0.001,144,25594,871.26,0.01,102477,0.10234259068965912,14.090769239999997,57
1729,0.001,148,26409,863.89,0.01,105740,0.09107580035924911,24.049891470000002,61
1700,0.001,152,26986,846.95,0.01,108046,0.6955251693725586,32.4603133,63
1661,0.001,156,27836,840.97,0.01,111448,0.11672741174697876,37.15574653,67
